neighbourhood,latitude,longitude,price,minimum_nights
Le Plateau-Mont-Royal,45.51747,-73.58931,110,3
Le Plateau-Mont-Royal,45.51586,-73.56959,140,2
Ville-Marie,45.51695,-73.55853,85,5
Ville-Marie,45.50774,-73.5671,128,6
Ville-Marie,45.52023,-73.56365,106,2
Pierrefonds-Roxboro,45.4527,-73.89099,56,1
Le Plateau-Mont-Royal,45.53712,-73.58577,175,7
Montréal-Ouest,45.45205,-73.64644,250,1
Mercier-Hochelaga-Maisonneuve,45.55338,-73.55087,120,5
Le Plateau-Mont-Royal,45.51952,-73.59687,250,2
Saint-Laurent,45.51586,-73.67733,45,1
Mercier-Hochelaga-Maisonneuve,45.54092,-73.54246,24,2
Le Plateau-Mont-Royal,45.52315,-73.59544,25,1
Westmount,45.47756,-73.60663,55,7
Côte-des-Neiges-Notre-Dame-de-Grâce,45.46476,-73.62834,30,1
Le Plateau-Mont-Royal,45.50827,-73.57505,150,1
Le Plateau-Mont-Royal,45.5318,-73.57688,171,2
Côte-des-Neiges-Notre-Dame-de-Grâce,45.46905,-73.61013,140,3
Villeray-Saint-Michel-Parc-Extension,45.52595,-73.62504,120,2
Villeray-Saint-Michel-Parc-Extension,45.55032,-73.60671,44,3
Ville-Marie,45.51434,-73.55866,35,1
Ville-Marie,45.51135,-73.5605,554,2
Le Plateau-Mont-Royal,45.51103,-73.57595,70,1
Ville-Marie,45.52845,-73.55915,85,3
Le Sud-Ouest,45.48538,-73.57581,300,5
Le Plateau-Mont-Royal,45.53749,-73.57335,102,2
Rosemont-La Petite-Patrie,45.53075,-73.60488,70,1
Mercier-Hochelaga-Maisonneuve,45.5474048,-73.54490369999999,82,1
Ville-Marie,45.51616,-73.56654,40,7
Le Plateau-Mont-Royal,45.52761,-73.59638,61,1
Le Plateau-Mont-Royal,45.52923,-73.59054,68,1
Ville-Marie,45.51663,-73.55888,40,1
Le Plateau-Mont-Royal,45.52531,-73.60448,20,1
Le Plateau-Mont-Royal,45.51817,-73.58324,25,1
Le Plateau-Mont-Royal,45.52021,-73.59171,25,1
Mercier-Hochelaga-Maisonneuve,45.54585,-73.54931,45,4
Ville-Marie,45.51827,-73.56154,80,14
Pierrefonds-Roxboro,45.45993,-73.88918,69,1
Le Plateau-Mont-Royal,45.52233,-73.58503,121,2
Ville-Marie,45.49921,-73.58558,120,2
Ville-Marie,45.50574,-73.55472,89,1
Ville-Marie,45.51611,-73.5658,533,7
Ville-Marie,45.52121,-73.55432,22,1
Le Sud-Ouest,45.48275,-73.57697,110,1
Villeray-Saint-Michel-Parc-Extension,45.53864,-73.6288,22,3
Le Plateau-Mont-Royal,45.53702,-73.56832,18,1
Côte-des-Neiges-Notre-Dame-de-Grâce,45.50432,-73.61709,25,1
Le Plateau-Mont-Royal,45.53655,-73.57269,27,1
Le Plateau-Mont-Royal,45.5197,-73.58433,60,1
Le Sud-Ouest,45.44985,-73.59889,38,7
Le Plateau-Mont-Royal,45.5134,-73.57274,66,1
Le Plateau-Mont-Royal,45.53832,-73.58011,40,1
Villeray-Saint-Michel-Parc-Extension,45.54814,-73.60676,60,1
Le Plateau-Mont-Royal,45.52655,-73.5878,68,7
Montréal-Ouest,45.45498,-73.65033,91,2
Le Plateau-Mont-Royal,45.5238,-73.57813,120,1
Verdun,45.44754,-73.56034,195,1
Le Plateau-Mont-Royal,45.53096,-73.56493,25,1
Villeray-Saint-Michel-Parc-Extension,45.54953,-73.61954,20,7
Ville-Marie,45.53493,-73.55981,26,1
Le Sud-Ouest,45.49369,-73.56161,450,1
Rosemont-La Petite-Patrie,45.53146,-73.60638,46,1
Ville-Marie,45.50191,-73.55642,500,5
Le Plateau-Mont-Royal,45.52532,-73.58997,35,3
Le Plateau-Mont-Royal,45.51761,-73.59126,99,2
Le Plateau-Mont-Royal,45.53668,-73.58294,150,3
Mercier-Hochelaga-Maisonneuve,45.54474,-73.55537,40,1
Ville-Marie,45.49288,-73.58257,40,1
Verdun,45.47378,-73.56984,195,3
Ville-Marie,45.49591,-73.57712,70,2
Villeray-Saint-Michel-Parc-Extension,45.54125,-73.63721,38,1
Villeray-Saint-Michel-Parc-Extension,45.53943,-73.6331,80,10
Côte-des-Neiges-Notre-Dame-de-Grâce,45.48302,-73.62968,75,2
Le Plateau-Mont-Royal,45.52386,-73.58469,140,2
Ahuntsic-Cartierville,45.54938,-73.64001,50,3
Côte-des-Neiges-Notre-Dame-de-Grâce,45.50554,-73.61676,22,1
Le Plateau-Mont-Royal,45.51428,-73.57349,35,1
Le Plateau-Mont-Royal,45.522186,-73.574051,219,1
Côte-des-Neiges-Notre-Dame-de-Grâce,45.51334,-73.62195,30,1
